word,pronunciation,meaning,partOfSpeech,example
plus,/plʌs/,บวก ประโยชน์เพิ่ม,preposition/noun,Two plus two equals four.
policy,/ˈpɒləsi/,นโยบาย แนวทาง,noun,The company changed its policy.
portion,/ˈpɔːʃən/,ส่วน ปริมาณ,noun,Save a portion for later.
pose,/pəʊz/,ก่อให้เกิด โพสท่า,verb,This poses a serious threat.
positive,/ˈpɒzətɪv/,เชิงบวก แน่ใจ,adjective,Stay positive about the future.
potential,/pəˈtenʃəl/,ศักยภาพ เป็นไปได้,noun/adjective,She has great potential.
practitioner,/prækˈtɪʃənə/,ผู้ปฏิบัติ ผู้ประกอบวิชาชีพ,noun,He's a medical practitioner.
precede,/prɪˈsiːd/,มาก่อน นำหน้า,verb,Thunder precedes lightning.
precise,/prɪˈsaɪs/,แม่นยำ ชัดเจน,adjective,Give me precise instructions.
predict,/prɪˈdɪkt/,ทำนาย คาดการณ์,verb,It's hard to predict the weather.
preliminary,/prɪˈlɪmɪnəri/,เบื้องต้น ขั้นต้น,adjective,These are preliminary results.
presume,/prɪˈzjuːm/,สันนิษฐาน คิดว่า,verb,I presume you're ready.
previous,/ˈpriːviəs/,ก่อนหน้า เมื่อก่อน,adjective,In the previous chapter...
primary,/ˈpraɪməri/,หลัก ประถม,adjective,What's the primary cause?
prime,/praɪm/,สำคัญที่สุด ช่วงดีที่สุด,adjective,This is prime real estate.
principal,/ˈprɪnsəpəl/,หลัก ผู้อำนวยการ,adjective/noun,The principal reason is cost.
principle,/ˈprɪnsəpəl/,หลักการ หลักธรรม,noun,I agree with this principle.
prior,/ˈpraɪə/,ก่อน ก่อนหน้า,adjective,Prior experience is required.
priority,/praɪˈɒrəti/,ความสำคัญ สิ่งที่สำคัญ,noun,Safety is our top priority.
proceed,/prəˈsiːd/,ดำเนินต่อไป เดินหน้า,verb,Please proceed with caution.
process,/ˈprəʊses/,กระบวนการ ดำเนินการ,noun/verb,The manufacturing process is complex.
professional,/prəˈfeʃənəl/,มืออาชีพ เกี่ยวกับอาชีพ,adjective/noun,She's a true professional.
project,/ˈprɒdʒekt/,โครงการ คาดการณ์,noun/verb,The project will take six months.
promote,/prəˈməʊt/,ส่งเสริม เลื่อนตำแหน่ง,verb,Exercise promotes good health.
proportion,/prəˈpɔːʃən/,สัดส่วน อัตราส่วน,noun,Mix in the right proportion.
prospect,/ˈprɒspekt/,โอกาส ความเป็นไปได้,noun,The job has good prospects.
protocol,/ˈprəʊtəkɒl/,พิธีการ ระเบียบ,noun,Follow the safety protocol.
psychology,/saɪˈkɒlədʒi/,จิตวิทยา การศึกษาจิตใจ,noun,She studied psychology at university.
publication,/ˌpʌblɪˈkeɪʃən/,การตีพิมพ์ สิ่งพิมพ์,noun,The publication was delayed.
publish,/ˈpʌblɪʃ/,ตีพิมพ์ เผยแพร่,verb,When will you publish the book?
purchase,/ˈpɜːtʃəs/,ซื้อ การซื้อ,verb/noun,I need to purchase supplies.
pursue,/pəˈsjuː/,ไล่ตาม ติดตาม,verb,He decided to pursue his dreams.
qualitative,/ˈkwɒlɪtətɪv/,เชิงคุณภาพ เกี่ยวกับคุณภาพ,adjective,We need qualitative research.
quote,/kwəʊt/,อ้างอิง ใบเสนอราคา,verb/noun,Can you quote Shakespeare?
radical,/ˈrædɪkəl/,รุนแรง ขั้นรากฐาน,adjective,This requires radical changes.
random,/ˈrændəm/,สุ่ม ไม่มีแบบแผน,adjective,Choose a random number.
range,/reɪndʒ/,ช่วง ขอบเขต,noun/verb,The price range is $100-200.
ratio,/ˈreɪʃiəʊ/,อัตราส่วน สัดส่วน,noun,The ratio is 2:1.
rational,/ˈræʃənəl/,มีเหตุผล สมเหตุสมผล,adjective,Make a rational decision.
react,/riˈækt/,ตอบสนอง มีปฏิกิริยา,verb,How did she react to the news?
recover,/rɪˈkʌvə/,หายดี กู้คืน,verb,He's recovering from surgery.
refine,/rɪˈfaɪn/,ปรับปรุง กลั่น,verb,We need to refine the process.
reform,/rɪˈfɔːm/,ปฏิรูป การปฏิรูป,verb/noun,Educational reform is needed.
region,/ˈriːdʒən/,ภูมิภาค พื้นที่,noun,This region has a warm climate.
register,/ˈredʒɪstə/,ลงทะเบียน บันทึก,verb/noun,Please register for the course.
regulate,/ˈreɡjuleɪt/,ควบคุม กำกับ,verb,The government regulates banks.
reinforce,/ˌriːɪnˈfɔːs/,เสริม เสริมกำลัง,verb,This reinforces my belief.
reject,/rɪˈdʒekt/,ปฏิเสธ ไม่ยอมรับ,verb,They rejected our proposal.
relax,/rɪˈlæks/,ผ่อนคลาย พักผ่อน,verb,Try to relax and enjoy.
release,/rɪˈliːs/,ปล่อย เปิดตัว,verb/noun,Release the prisoners.
relevant,/ˈreləvənt/,เกี่ยวข้อง มีความหมาย,adjective,Is this information relevant?
reliable,/rɪˈlaɪəbəl/,เชื่อถือได้ พึ่งพาได้,adjective,He's a reliable employee.
reluctant,/rɪˈlʌktənt/,ไม่เต็มใจ ลังเล,adjective,She was reluctant to leave.
rely,/rɪˈlaɪ/,พึ่งพา อาศัย,verb,You can rely on me.
remove,/rɪˈmuːv/,เอาออก ย้าย,verb,Remove your shoes before entering.
require,/rɪˈkwaɪə/,ต้องการ จำเป็น,verb,This job requires experience.
research,/rɪˈsɜːtʃ/,วิจัย การวิจัย,noun/verb,She's doing research on cancer.
reside,/rɪˈzaɪd/,อาศัย อยู่,verb,Where do you reside?
resolve,/rɪˈzɒlv/,แก้ไข ตัดสินใจ,verb,We need to resolve this issue.
resource,/rɪˈsɔːs/,ทรัพยากร แหล่งข้อมูล,noun,Natural resources are limited.
respond,/rɪˈspɒnd/,ตอบ ตอบสนอง,verb,Please respond to my email.
restore,/rɪˈstɔː/,คืนสภาพ ฟื้นฟู,verb,Restore the old building.
restrict,/rɪˈstrɪkt/,จำกัด ห้าม,verb,Smoking is restricted here.
retain,/rɪˈteɪn/,เก็บไว้ รักษาไว้,verb,Retain all receipts.
reveal,/rɪˈviːl/,เปิดเผย แสดงให้เห็น,verb,The investigation revealed the truth.
revenue,/ˈrevənjuː/,รายได้ เงินรายได้,noun,Company revenue increased.
reverse,/rɪˈvɜːs/,กลับ ย้อนกลับ,verb/adjective,Reverse the car carefully.
revise,/rɪˈvaɪz/,ปรับปรุง ทบทวน,verb,Revise your essay before submitting.
revolution,/ˌrevəˈluːʃən/,การปฏิวัติ การเปลี่ยนแปลง,noun,The industrial revolution changed everything.
rigid,/ˈrɪdʒɪd/,แข็ง เคร่งครัด,adjective,The rules are too rigid.
role,/rəʊl/,บทบาท หน้าที่,noun,What's your role in this project?
route,/ruːt/,เส้นทาง ทาง,noun,Take the shortest route.
scenario,/sɪˈnɑːriəʊ/,สถานการณ์ เหตุการณ์,noun,Consider the worst-case scenario.
schedule,/ˈʃedjuːl/,ตารางเวลา กำหนดการ,noun/verb,What's your schedule today?
scheme,/skiːm/,แผน โครงการ,noun,The pension scheme is generous.
scope,/skəʊp/,ขอบเขต ความครอบคลุม,noun,The scope of work is extensive.
section,/ˈsekʃən/,ส่วน หมวด,noun,Read section three carefully.
sector,/ˈsektə/,ภาคส่วน ส่วน,noun,The private sector is growing.
secure,/sɪˈkjʊə/,ปลอดภัย มั่นคง,adjective/verb,Is your password secure?
seek,/siːk/,หา แสวงหา,verb,Seek professional advice.
select,/sɪˈlekt/,เลือก คัดเลือก,verb,Select the best option.
sequence,/ˈsiːkwəns/,ลำดับ ความต่อเนื่อง,noun,Follow the correct sequence.
series,/ˈsɪəriːz/,ชุด ซีรีส์,noun,A series of events occurred.
session,/ˈseʃən/,ช่วง การประชุม,noun,The training session starts at 9.
shift,/ʃɪft/,เปลี่ยน กะ,verb/noun,There's been a shift in policy.
significant,/sɪɡˈnɪfɪkənt/,สำคัญ มีนัยสำคัญ,adjective,This is a significant discovery.
similar,/ˈsɪmələ/,คล้าย เหมือน,adjective,The two cases are similar.
simulate,/ˈsɪmjuleɪt/,จำลอง เลียนแบบ,verb,The computer simulates flight.
site,/saɪt/,สถานที่ เว็บไซต์,noun,The construction site is busy.
so-called,/ˈsəʊ kɔːld/,ที่เรียกว่า ที่เรียกกัน,adjective,The so-called expert was wrong.
sole,/səʊl/,เพียงคนเดียว ฝ่าเท้า,adjective,He was the sole survivor of the accident.
vulnerable,/ˈvʌlnərəbl/,เปราะบาง ถูกทำร้ายได้ง่าย,adjective,Children are particularly vulnerable to this disease.
welfare,/ˈwelfeər/,สวัสดิการ ความเป็นอยู่,noun,The government is responsible for the welfare of its citizens.
whereas,/ˌweərˈæz/,ในขณะที่ ทั้งที่,conjunction,Some people like coffee whereas others prefer tea.
whereby,/ˌweərˈbaɪ/,โดยที่ ซึ่ง,adverb,We need a system whereby problems can be solved quickly.
widespread,/ˈwaɪdspred/,แพร่หลาย กว้างขวาง,adjective,There is widespread support for the new policy.
withdraw,/wɪðˈdrɔː/,ถอน เอาออก,verb,I need to withdraw some money from the bank.
withstand,/wɪðˈstænd/,ทนทาน ต้านทาน,verb,The building was designed to withstand earthquakes.
workforce,/ˈwɜːrkfɔːrs/,กำลังแรงงาน พนักงาน,noun,The company has a skilled workforce of 500 employees.
