word,pronunciation,meaning,partOfSpeech,example
magazine,/ˈmæɡəziːn/,นิตยสาร,noun,"Fashion magazine"
main,/meɪn/,หลัก,adjective,"Main road"
make,/meɪk/,ทำ,verb,"Make coffee"
man,/mæn/,ผู้ชาย,noun,"Old man"
manage,/ˈmænɪdʒ/,จัดการ,verb,"Manage time"
manager,/ˈmænɪdʒər/,ผู้จัดการ,noun,"Store manager"
many,/ˈmeni/,มาก,determiner,"Many people"
market,/ˈmɑːrkɪt/,ตลาด,noun,"Fresh market"
marriage,/ˈmærɪdʒ/,การแต่งงาน,noun,"Happy marriage"
material,/məˈtɪriəl/,วัสดุ,noun,"Building material"
matter,/ˈmætər/,เรื่อง,noun,"Important matter"
may,/meɪ/,อาจ,modal verb,"May I help?"
maybe,/ˈmeɪbi/,บางที,adverb,"Maybe tomorrow"
me,/miː/,ฉัน,pronoun,"Help me"
mean,/miːn/,หมายถึง,verb,"What does it mean?"
meaning,/ˈmiːnɪŋ/,ความหมาย,noun,"True meaning"
measure,/ˈmeʒər/,วัด,verb,"Measure length"
media,/ˈmiːdiə/,สื่อ,noun,"Social media"
medical,/ˈmedɪkəl/,ทางการแพทย์,adjective,"Medical care"
meet,/miːt/,พบ,verb,"Meet friends"
meeting,/ˈmiːtɪŋ/,การประชุม,noun,"Important meeting"
member,/ˈmembər/,สมาชิก,noun,"Team member"
memory,/ˈmeməri/,ความทรงจำ,noun,"Good memory"
mention,/ˈmenʃən/,กล่าวถึง,verb,"Don't mention it"
message,/ˈmesɪdʒ/,ข้อความ,noun,"Text message"
method,/ˈmeθəd/,วิธี,noun,"New method"
middle,/ˈmɪdəl/,กลาง,noun,"In the middle"
might,/maɪt/,อาจจะ,modal verb,"Might rain"
million,/ˈmɪljən/,ล้าน,number,"One million"
mind,/maɪnd/,จิตใจ,noun,"Open mind"
minute,/ˈmɪnɪt/,นาที,noun,"Five minutes"
miss,/mɪs/,คิดถึง,verb,"Miss you"
model,/ˈmɑːdəl/,แบบจำลอง,noun,"Fashion model"
modern,/ˈmɑːdərn/,ทันสมัย,adjective,"Modern art"
moment,/ˈmoʊmənt/,ช่วงเวลา,noun,"Just a moment"
money,/ˈmʌni/,เงิน,noun,"Save money"
month,/mʌnθ/,เดือน,noun,"Next month"
more,/mɔːr/,มากกว่า,adverb,"More time"
morning,/ˈmɔːrnɪŋ/,เช้า,noun,"Good morning"
most,/moʊst/,มากที่สุด,adverb,"Most people"
mother,/ˈmʌðər/,แม่,noun,"My mother"
move,/muːv/,เคลื่อนไหว,verb,"Move forward"
movement,/ˈmuːvmənt/,การเคลื่อนไหว,noun,"Dance movement"
movie,/ˈmuːvi/,ภาพยนตร์,noun,"Good movie"
much,/mʌtʃ/,มาก,adverb,"Too much"
music,/ˈmjuːzɪk/,ดนตรี,noun,"Classical music"
must,/mʌst/,ต้อง,modal verb,"Must go"
my,/maɪ/,ของฉัน,pronoun,"My book"
myself,/maɪˈself/,ตัวฉันเอง,pronoun,"I did it myself"
name,/neɪm/,ชื่อ,noun,"My name"
nation,/ˈneɪʃən/,ประเทศ,noun,"Great nation"
national,/ˈnæʃənəl/,แห่งชาติ,adjective,"National park"
natural,/ˈnætʃərəl/,ธรรมชาติ,adjective,"Natural beauty"
nature,/ˈneɪtʃər/,ธรรมชาติ,noun,"Love nature"
near,/nɪr/,ใกล้,preposition,"Near here"
nearly,/ˈnɪrli/,เกือบ,adverb,"Nearly done"
necessary,/ˈnesəseri/,จำเป็น,adjective,"Very necessary"
need,/niːd/,ต้องการ,verb,"Need help"
network,/ˈnetwɜːrk/,เครือข่าย,noun,"Computer network"
never,/ˈnevər/,ไม่เคย,adverb,"Never give up"
new,/nuː/,ใหม่,adjective,"New car"
news,/nuːz/,ข่าว,noun,"Good news"
newspaper,/ˈnuːzpeɪpər/,หนังสือพิมพ์,noun,"Daily newspaper"
next,/nekst/,ถัดไป,adjective,"Next week"
nice,/naɪs/,ดี,adjective,"Nice weather"
night,/naɪt/,คืน,noun,"Good night"
nine,/naɪn/,เก้า,number,"Nine o'clock"
no,/noʊ/,ไม่,adverb,"No problem"
nobody,/ˈnoʊbədi/,ไม่มีใคร,pronoun,"Nobody knows"
north,/nɔːrθ/,ทิศเหนือ,noun,"Go north"
not,/nɑːt/,ไม่,adverb,"Not today"
note,/noʊt/,บันทึก,noun,"Take notes"
nothing,/ˈnʌθɪŋ/,ไม่มีอะไร,pronoun,"Nothing special"
notice,/ˈnoʊtɪs/,สังเกต,verb,"Notice the difference"
now,/naʊ/,ตอนนี้,adverb,"Right now"
number,/ˈnʌmbər/,หมายเลข,noun,"Phone number"
object,/ˈɑːbdʒɪkt/,วัตถุ,noun,"Strange object"
of,/ʌv/,ของ,preposition,"Cup of tea"
off,/ɔːf/,ปิด,adverb,"Turn off"
offer,/ˈɔːfər/,เสนอ,verb,"Offer help"
office,/ˈɔːfɪs/,สำนักงาน,noun,"Office building"
officer,/ˈɔːfɪsər/,เจ้าหน้าที่,noun,"Police officer"
official,/əˈfɪʃəl/,อย่างเป็นทางการ,adjective,"Official document"
often,/ˈɔːfən/,บ่อยๆ,adverb,"Often visit"
oh,/oʊ/,โอ้,interjection,"Oh no!"
oil,/ɔɪl/,น้ำมัน,noun,"Cooking oil"
ok,/oʊˈkeɪ/,โอเค,interjection,"Ok, I agree"
old,/oʊld/,เก่า,adjective,"Old house"
on,/ɑːn/,บน,preposition,"On the table"
once,/wʌns/,ครั้งหนึ่ง,adverb,"Once upon a time"
one,/wʌn/,หนึ่ง,number,"One apple"
only,/ˈoʊnli/,เพียง,adverb,"Only you"
open,/ˈoʊpən/,เปิด,verb,"Open the door"
operation,/ˌɑːpəˈreɪʃən/,การดำเนินการ,noun,"Medical operation"
opportunity,/ˌɑːpərˈtuːnəti/,โอกาส,noun,"Great opportunity"
option,/ˈɑːpʃən/,ตัวเลือก,noun,"Best option"
or,/ɔːr/,หรือ,conjunction,"Tea or coffee?"
order,/ˈɔːrdər/,สั่ง,verb,"Order food"
organization,/ˌɔːrɡənəˈzeɪʃən/,องค์กร,noun,"International organization"
other,/ˈʌðər/,อื่น,determiner,"Other people"
our,/ˈaʊər/,ของเรา,pronoun,"Our house"
out,/aʊt/,ออก,adverb,"Go out"
outside,/ˌaʊtˈsaɪd/,ข้างนอก,preposition,"Outside the house"
over,/ˈoʊvər/,เหนือ,preposition,"Over the bridge"
own,/oʊn/,เป็นเจ้าของ,verb,"Own a car"
page,/peɪdʒ/,หน้า,noun,"Next page"
pain,/peɪn/,ความเจ็บปวด,noun,"Back pain"
paper,/ˈpeɪpər/,กระดาษ,noun,"White paper"
parent,/ˈperənt/,พ่อแม่,noun,"Good parent"
park,/pɑːrk/,สวนสาธารณะ,noun,"City park"
part,/pɑːrt/,ส่วน,noun,"Important part"
particular,/pərˈtɪkjələr/,โดยเฉพาะ,adjective,"Particular interest"
party,/ˈpɑːrti/,งานปาร์ตี้,noun,"Birthday party"
pass,/pæs/,ผ่าน,verb,"Pass the test"
past,/pæst/,อดีต,noun,"In the past"
pay,/peɪ/,จ่าย,verb,"Pay the bill"
peace,/piːs/,สันติภาพ,noun,"World peace"
people,/ˈpiːpəl/,คน,noun,"Many people"
per,/pər/,ต่อ,preposition,"Per person"
perfect,/ˈpɜːrfɪkt/,สมบูรณ์แบบ,adjective,"Perfect day"
perform,/pərˈfɔːrm/,แสดง,verb,"Perform well"
performance,/pərˈfɔːrməns/,การแสดง,noun,"Great performance"
perhaps,/pərˈhæps/,บางที,adverb,"Perhaps tomorrow"
period,/ˈpɪriəd/,ช่วงเวลา,noun,"Long period"
person,/ˈpɜːrsən/,บุคคล,noun,"Nice person"
personal,/ˈpɜːrsənəl/,ส่วนตัว,adjective,"Personal information"
phone,/foʊn/,โทรศัพท์,noun,"Mobile phone"
photo,/ˈfoʊtoʊ/,รูปถ่าย,noun,"Family photo"
physical,/ˈfɪzɪkəl/,ทางกายภาพ,adjective,"Physical exercise"
pick,/pɪk/,เลือก,verb,"Pick a card"
picture,/ˈpɪktʃər/,รูปภาพ,noun,"Beautiful picture"
piece,/piːs/,ชิ้น,noun,"Piece of cake"
place,/pleɪs/,สถานที่,noun,"Nice place"
plan,/plæn/,แผน,noun,"Good plan"
plant,/plænt/,พืช,noun,"Green plant"
play,/pleɪ/,เล่น,verb,"Play games"
player,/ˈpleɪər/,ผู้เล่น,noun,"Football player"
please,/pliːz/,กรุณา,adverb,"Please help"
point,/pɔɪnt/,จุด,noun,"Starting point"
police,/pəˈliːs/,ตำรวจ,noun,"Call police"
policy,/ˈpɑːləsi/,นโยบาย,noun,"Company policy"
political,/pəˈlɪtɪkəl/,ทางการเมือง,adjective,"Political party"
politics,/ˈpɑːlətɪks/,การเมือง,noun,"Study politics"
poor,/pʊr/,จน,adjective,"Poor family"
popular,/ˈpɑːpjələr/,ได้รับความนิยม,adjective,"Popular song"
population,/ˌpɑːpjəˈleɪʃən/,ประชากร,noun,"Large population"
position,/pəˈzɪʃən/,ตำแหน่ง,noun,"Good position"
positive,/ˈpɑːzətɪv/,เชิงบวก,adjective,"Positive thinking"
possible,/ˈpɑːsəbəl/,เป็นไปได้,adjective,"Everything is possible"
power,/ˈpaʊər/,พลัง,noun,"Solar power"
practice,/ˈpræktɪs/,ฝึกฝน,verb,"Practice English"
prepare,/prɪˈper/,เตรียม,verb,"Prepare dinner"
present,/ˈprezənt/,ปัจจุบัน,adjective,"Present time"
president,/ˈprezɪdənt/,ประธานาธิบดี,noun,"Country president"
pressure,/ˈpreʃər/,ความกดดัน,noun,"High pressure"
pretty,/ˈprɪti/,สวย,adjective,"Pretty girl"
prevent,/prɪˈvent/,ป้องกัน,verb,"Prevent disease"
price,/praɪs/,ราคา,noun,"Good price"
private,/ˈpraɪvət/,ส่วนตัว,adjective,"Private room"
probably,/ˈprɑːbəbli/,น่าจะ,adverb,"Probably true"
problem,/ˈprɑːbləm/,ปัญหา,noun,"Big problem"
process,/ˈprɑːses/,กระบวนการ,noun,"Learning process"
produce,/prəˈduːs/,ผลิต,verb,"Produce goods"
product,/ˈprɑːdʌkt/,ผลิตภัณฑ์,noun,"New product"
production,/prəˈdʌkʃən/,การผลิต,noun,"Mass production"
professional,/prəˈfeʃənəl/,มืออาชีพ,adjective,"Professional service"
program,/ˈproʊɡræm/,โปรแกรม,noun,"TV program"
project,/ˈprɑːdʒekt/,โครงการ,noun,"School project"
property,/ˈprɑːpərti/,ทรัพย์สิน,noun,"Private property"
protect,/prəˈtekt/,ปกป้อง,verb,"Protect environment"
provide,/prəˈvaɪd/,จัดหา,verb,"Provide service"
public,/ˈpʌblɪk/,สาธารณะ,adjective,"Public transport"
pull,/pʊl/,ดึง,verb,"Pull the rope"
purpose,/ˈpɜːrpəs/,จุดประสงค์,noun,"Main purpose"
push,/pʊʃ/,ผลัก,verb,"Push the button"
put,/pʊt/,วาง,verb,"Put it here"
quality,/ˈkwɑːləti/,คุณภาพ,noun,"High quality"
question,/ˈkwestʃən/,คำถาม,noun,"Good question"
quick,/kwɪk/,เร็ว,adjective,"Quick response"
quickly,/ˈkwɪkli/,อย่างรวดเร็ว,adverb,"Move quickly"
quite,/kwaɪt/,ค่อนข้าง,adverb,"Quite good"
race,/reɪs/,การแข่งขัน,noun,"Car race"
radio,/ˈreɪdioʊ/,วิทยุ,noun,"Listen to radio"
raise,/reɪz/,ยก,verb,"Raise your hand"
range,/reɪndʒ/,ช่วง,noun,"Price range"
rate,/reɪt/,อัตรา,noun,"Interest rate"
rather,/ˈræðər/,ค่อนข้าง,adverb,"Rather difficult"
reach,/riːtʃ/,ถึง,verb,"Reach the goal"
read,/riːd/,อ่าน,verb,"Read books"
ready,/ˈredi/,พร้อม,adjective,"Are you ready?"
real,/riːl/,จริง,adjective,"Real story"
reality,/riˈæləti/,ความเป็นจริง,noun,"Face reality"
really,/ˈriːli/,จริงๆ,adverb,"Really good"
reason,/ˈriːzən/,เหตุผล,noun,"Good reason"
receive,/rɪˈsiːv/,ได้รับ,verb,"Receive gift"
recent,/ˈriːsənt/,เมื่อเร็วๆ นี้,adjective,"Recent news"
recently,/ˈriːsəntli/,เมื่อเร็วๆ นี้,adverb,"Recently moved"
recognize,/ˈrekəɡnaɪz/,จำได้,verb,"Recognize face"
record,/ˈrekərd/,บันทึก,noun,"Medical record"
red,/red/,สีแดง,adjective,"Red car"
reduce,/rɪˈduːs/,ลด,verb,"Reduce cost"
refer,/rɪˈfɜːr/,อ้างถึง,verb,"Refer to page"
reflect,/rɪˈflekt/,สะท้อน,verb,"Reflect light"
region,/ˈriːdʒən/,ภูมิภาค,noun,"Mountain region"
relate,/rɪˈleɪt/,เกี่ยวข้อง,verb,"Relate to work"
relationship,/rɪˈleɪʃənʃɪp/,ความสัมพันธ์,noun,"Good relationship"
remain,/rɪˈmeɪn/,ยังคง,verb,"Remain calm"
remember,/rɪˈmembər/,จำได้,verb,"Remember me"
remove,/rɪˈmuːv/,เอาออก,verb,"Remove stain"
report,/rɪˈpɔːrt/,รายงาน,noun,"News report"
represent,/ˌreprɪˈzent/,แทน,verb,"Represent country"
require,/rɪˈkwaɪər/,ต้องการ,verb,"Require help"
research,/rɪˈsɜːrtʃ/,การวิจัย,noun,"Scientific research"
resource,/ˈriːsɔːrs/,ทรัพยากร,noun,"Natural resource"
respond,/rɪˈspɑːnd/,ตอบสนอง,verb,"Respond quickly"
response,/rɪˈspɑːns/,การตอบสนอง,noun,"Quick response"
responsibility,/rɪˌspɑːnsəˈbɪləti/,ความรับผิดชอบ,noun,"Take responsibility"
rest,/rest/,พักผ่อน,verb,"Take a rest"
result,/rɪˈzʌlt/,ผลลัพธ์,noun,"Good result"
return,/rɪˈtɜːrn/,กลับ,verb,"Return home"
reveal,/rɪˈviːl/,เปิดเผย,verb,"Reveal secret"
rich,/rɪtʃ/,รวย,adjective,"Rich family"
right,/raɪt/,ขวา,adjective,"Turn right"
rise,/raɪz/,ขึ้น,verb,"Sun rise"
risk,/rɪsk/,ความเสี่ยง,noun,"High risk"
road,/roʊd/,ถนน,noun,"Main road"
rock,/rɑːk/,หิน,noun,"Big rock"
role,/roʊl/,บทบาท,noun,"Important role"
room,/ruːm/,ห้อง,noun,"Living room"
rule,/ruːl/,กฎ,noun,"School rule"
run,/rʌn/,วิ่ง,verb,"Run fast"
safe,/seɪf/,ปลอดภัย,adjective,"Safe place"
same,/seɪm/,เหมือนกัน,adjective,"Same color"
save,/seɪv/,ประหยัด,verb,"Save money"
say,/seɪ/,พูด,verb,"Say hello"
scale,/skeɪl/,ขนาด,noun,"Large scale"
scene,/siːn/,ฉาก,noun,"Crime scene"
school,/skuːl/,โรงเรียน,noun,"Primary school"
science,/ˈsaɪəns/,วิทยาศาสตร์,noun,"Study science"
score,/skɔːr/,คะแนน,noun,"High score"
sea,/siː/,ทะเล,noun,"Blue sea"
season,/ˈsiːzən/,ฤดูกาล,noun,"Summer season"
seat,/siːt/,ที่นั่ง,noun,"Front seat"
second,/ˈsekənd/,วินาที,noun,"Wait a second"
section,/ˈsekʃən/,ส่วน,noun,"News section"
security,/sɪˈkjʊrəti/,ความปลอดภัย,noun,"Airport security"
see,/siː/,เห็น,verb,"See you later"
seek,/siːk/,แสวงหา,verb,"Seek help"
seem,/siːm/,ดูเหมือน,verb,"Seem happy"
sell,/sel/,ขาย,verb,"Sell car"
send,/send/,ส่ง,verb,"Send message"
senior,/ˈsiːnjər/,อาวุโส,adjective,"Senior manager"
sense,/sens/,ความรู้สึก,noun,"Common sense"
serious,/ˈsɪriəs/,จริงจัง,adjective,"Serious problem"
serve,/sɜːrv/,บริการ,verb,"Serve food"
service,/ˈsɜːrvɪs/,การบริการ,noun,"Good service"
set,/set/,ตั้ง,verb,"Set alarm"
seven,/ˈsevən/,เจ็ด,number,"Seven days"
several,/ˈsevərəl/,หลาย,determiner,"Several times"
share,/ʃer/,แบ่งปัน,verb,"Share food"
she,/ʃiː/,เธอ,pronoun,"She is nice"
short,/ʃɔːrt/,สั้น,adjective,"Short hair"
should,/ʃʊd/,ควร,modal verb,"Should go"
show,/ʃoʊ/,แสดง,verb,"Show me"
side,/saɪd/,ด้าน,noun,"Left side"
significant,/sɪɡˈnɪfɪkənt/,สำคัญ,adjective,"Significant change"
similar,/ˈsɪmələr/,คล้าย,adjective,"Similar style"
simple,/ˈsɪmpəl/,ง่าย,adjective,"Simple task"
simply,/ˈsɪmpli/,เพียงแค่,adverb,"Simply beautiful"
since,/sɪns/,ตั้งแต่,preposition,"Since yesterday"
sing,/sɪŋ/,ร้องเพลง,verb,"Sing song"
single,/ˈsɪŋɡəl/,เดี่ยว,adjective,"Single room"
sister,/ˈsɪstər/,น้องสาว,noun,"My sister"
sit,/sɪt/,นั่ง,verb,"Sit down"
site,/saɪt/,สถานที่,noun,"Construction site"
situation,/ˌsɪtʃuˈeɪʃən/,สถานการณ์,noun,"Difficult situation"
six,/sɪks/,หก,number,"Six months"
size,/saɪz/,ขนาด,noun,"Large size"
skill,/skɪl/,ทักษะ,noun,"Language skill"
small,/smɔːl/,เล็ก,adjective,"Small house"
smile,/smaɪl/,ยิ้ม,verb,"Smile please"
so,/soʊ/,ดังนั้น,adverb,"So good"
social,/ˈsoʊʃəl/,สังคม,adjective,"Social media"
society,/səˈsaɪəti/,สังคม,noun,"Modern society"
some,/sʌm/,บาง,determiner,"Some people"
someone,/ˈsʌmwʌn/,ใครบางคน,pronoun,"Someone called"
something,/ˈsʌmθɪŋ/,บางสิ่ง,pronoun,"Something new"
sometimes,/ˈsʌmtaɪmz/,บางครั้ง,adverb,"Sometimes rain"
son,/sʌn/,ลูกชาย,noun,"My son"
song,/sɔːŋ/,เพลง,noun,"Love song"
soon,/suːn/,เร็วๆ นี้,adverb,"See you soon"
sort,/sɔːrt/,จัดเรียง,verb,"Sort files"
sound,/saʊnd/,เสียง,noun,"Loud sound"
source,/sɔːrs/,แหล่ง,noun,"Water source"
south,/saʊθ/,ทิศใต้,noun,"Go south"
space,/speɪs/,พื้นที่,noun,"Empty space"
speak,/spiːk/,พูด,verb,"Speak English"
special,/ˈspeʃəl/,พิเศษ,adjective,"Special day"
specific,/spəˈsɪfɪk/,เฉพาะเจาะจง,adjective,"Specific time"
spend,/spend/,ใช้จ่าย,verb,"Spend money"
sport,/spɔːrt/,กีฬา,noun,"Play sport"
staff,/stæf/,พนักงาน,noun,"Office staff"
stage,/steɪdʒ/,เวที,noun,"Concert stage"
stand,/stænd/,ยืน,verb,"Stand up"
standard,/ˈstændərd/,มาตรฐาน,noun,"High standard"
start,/stɑːrt/,เริ่ม,verb,"Start now"
state,/steɪt/,รัฐ,noun,"United States"
station,/ˈsteɪʃən/,สถานี,noun,"Train station"
stay,/steɪ/,อยู่,verb,"Stay here"
step,/step/,ก้าว,noun,"First step"
still,/stɪl/,ยังคง,adverb,"Still waiting"
stop,/stɑːp/,หยุด,verb,"Stop here"
store,/stɔːr/,ร้านค้า,noun,"Book store"
story,/ˈstɔːri/,เรื่องราว,noun,"True story"
strategy,/ˈstrætədʒi/,กลยุทธ์,noun,"Business strategy"
street,/striːt/,ถนน,noun,"Main street"
strong,/strɔːŋ/,แข็งแรง,adjective,"Strong man"
structure,/ˈstrʌktʃər/,โครงสร้าง,noun,"Building structure"
student,/ˈstuːdənt/,นักเรียน,noun,"Good student"
study,/ˈstʌdi/,ศึกษา,verb,"Study hard"
style,/staɪl/,สไตล์,noun,"Fashion style"
subject,/ˈsʌbdʒɪkt/,วิชา,noun,"Favorite subject"
success,/səkˈses/,ความสำเร็จ,noun,"Great success"
successful,/səkˈsesfəl/,ประสบความสำเร็จ,adjective,"Successful business"
such,/sʌtʃ/,เช่น,determiner,"Such a nice day"
suddenly,/ˈsʌdənli/,อย่างกะทันหัน,adverb,"Suddenly appeared"
suggest,/səˈdʒest/,แนะนำ,verb,"Suggest idea"
summer,/ˈsʌmər/,ฤดูร้อน,noun,"Hot summer"
support,/səˈpɔːrt/,สนับสนุน,verb,"Support team"
sure,/ʃʊr/,แน่ใจ,adjective,"Are you sure?"
surface,/ˈsɜːrfɪs/,พื้นผิว,noun,"Water surface"
system,/ˈsɪstəm/,ระบบ,noun,"Computer system"
